Region,Year,REG_RATE_per_100k
Africa,1990,2.1082372342470763
Africa,1991,1.9124080536989292
Africa,1992,2.0549410266039616
Africa,1993,1.9843594961862652
Africa,1994,19.19888208386792
Africa,1995,31.61580397733829
Africa,1996,29.91046158596202
Africa,1997,23.10046574302449
Africa,1998,31.11757460700041
Africa,1999,27.942428248760045
Africa,2000,14.628820672891388
Africa,2001,14.22595196748425
Africa,2002,14.122284319856577
Africa,2003,12.166983485548307
Africa,2004,11.336035111687659
Africa,2005,8.310342685724972
Africa,2006,7.914276999822065
Africa,2007,10.202917795010523
Africa,2008,10.219856909535535
Africa,2009,9.980203346063774
Africa,2010,8.93361275714915
Africa,2011,9.262962300967336
Africa,2012,9.45809963513856
Africa,2013,10.10154591308989
Africa,2014,9.712578068735267
Africa,2015,8.79770458155824
Africa,2016,13.079236620471507
Africa,2017,9.786624805080754
Africa,2018,9.893776238818452
Africa,2019,12.099242894759959
Africa,2020,9.703652578466276
Africa,2021,10.567703658977656
Africa,2022,11.252454368810902
Africa,2023,1.4056342973051772
Americas,1990,16.417301778010295
Americas,1991,17.05892782962287
Americas,1992,16.624215647186517
Americas,1993,17.127686698625606
Americas,1994,17.942341206828317
Americas,1995,17.277580504334924
Americas,1996,17.33955804926259
Americas,1997,16.888506890251538
Americas,1998,16.531573760959738
Americas,1999,16.25026561450856
Americas,2000,16.250378121646285
Americas,2001,16.85702852515207
Americas,2002,16.893985070742385
Americas,2003,13.910066081449939
Americas,2004,13.539192291986803
Americas,2005,11.800630721011947
Americas,2006,11.755451253240311
Americas,2007,11.19595163129036
Americas,2008,11.21676220465103
Americas,2009,10.964788232609514
Americas,2010,0.7713719673651513
Americas,2011,0.8001722344106008
Americas,2012,0.8674830290664391
Americas,2013,0.4756286472187665
Americas,2014,0.2389613132785941
Americas,2015,0.25653718913043716
Americas,2016,0.23625436365452984
Americas,2017,0.41779404419561267
Americas,2018,0.16567062694232398
Americas,2019,0.14321524325565016
Americas,2020,0.14710782170382886
Americas,2021,0.12826174422624761
Americas,2022,0.07384842105901887
Americas,2023,2.084807675611768
Asia,1990,5.352778271873404
Asia,1991,5.3925570988324685
Asia,1992,5.517430456075873
Asia,1993,5.315674916641737
Asia,1994,4.964403004721632
Asia,1995,3.428279523441262
Asia,1996,3.501072277695977
Asia,1997,3.4929178273731427
Asia,1998,4.403752780060444
Asia,1999,4.208953782279182
Asia,2000,3.559486741931441
Asia,2001,3.532417218886228
Asia,2002,3.1864424148082295
Asia,2003,2.987180245386099
Asia,2004,2.7788633771242264
Asia,2005,2.6497994009312853
Asia,2006,2.615389737334487
Asia,2007,2.544715063102618
Asia,2008,2.516992514224517
Asia,2009,2.4894161505486143
Asia,2010,0.39886642041332804
Asia,2011,0.08830545358460454
Asia,2012,0.4382870369670765
Asia,2013,0.06750765253478692
Asia,2014,0.10597070576446709
Asia,2015,0.3813187666168898
Asia,2016,0.005917210916767862
Asia,2017,0.2802659683323128
Asia,2018,0.18037243677726425
Asia,2019,0.03476928491973835
Asia,2020,0.10524659644084962
Asia,2021,0.03253274013464882
Asia,2022,1.4912447264706397
Asia,2023,3.642493570015485
Europe,1990,5.0993286510010165
Europe,1991,5.225335392242236
Europe,1992,6.996329945483461
Europe,1993,8.624180852062572
Europe,1994,9.029890160883943
Europe,1995,8.705460819536754
Europe,1996,7.819264761948309
Europe,1997,7.242994657368068
Europe,1998,6.93797708857815
Europe,1999,7.517433793918901
Europe,2000,7.8218460658109645
Europe,2001,8.070322789300716
Europe,2002,8.14359896989833
Europe,2003,4.203277179915486
Europe,2004,5.514465578970273
Europe,2005,4.182984459854022
Europe,2006,3.7734722804673613
Europe,2007,4.815757362472362
Europe,2008,3.8462200454126827
Europe,2009,3.3560418288559104
Europe,2010,0.1347813035843524
Europe,2011,0.17711866928140313
Europe,2012,1.8538182952463202
Europe,2013,0.034685233223224025
Europe,2014,0.03292166958607874
Europe,2015,0.048243306767783295
Europe,2016,0.03688182994505412
Europe,2017,0.040167470598077425
Europe,2018,0.016691458062353233
Europe,2019,0.021871787648945602
Europe,2020,0.024785959524251923
Europe,2021,0.033156468779222736
Europe,2022,0.05755815853609226
Europe,2023,0.30165002148543757
Oceania,1990,2.203864614953504
Oceania,1991,1.9188127669751696
Oceania,1992,1.805283959298685
Oceania,1993,1.7631268970796559
Oceania,1994,1.8507750945572976
Oceania,1995,1.8571827768045444
Oceania,1996,1.8157040021960469
Oceania,1997,1.892675838154139
Oceania,1998,3.1973146891952684
Oceania,1999,3.132244650517664
Oceania,2000,3.0673822093469783
Oceania,2001,2.9075686196407564
Oceania,2002,3.0602092272604016
Oceania,2003,2.73058719554085
Oceania,2004,1.2605914761943218
Oceania,2005,1.7154387775093136
Oceania,2006,1.6359434589393274
Oceania,2007,1.498989429464688
Oceania,2008,1.4768817417031748
Oceania,2009,1.591710602965621
Oceania,2010,1.6700447767216762
Oceania,2011,1.23491309102919
Oceania,2012,1.1397265552811386
Oceania,2013,0.07895908680919309
Oceania,2014,1.259764155966054
Oceania,2015,0.5349882196517632
Oceania,2016,1.1851887014611382
Oceania,2017,1.2043743955309356
Oceania,2018,0.05532309357953508
Oceania,2019,0.19259362899285729
Oceania,2020,1.063227424309263
Oceania,2021,0.03141760569419705
Oceania,2022,1.1119950833816685
Oceania,2023,0.854406035826682
World,2000,6.9291628972836
World,2001,7.01885760915555
World,2002,6.980681075270791
World,2003,6.79780481430658
World,2004,6.574930445288
World,2005,6.365831358419679
World,2006,6.2470807722649
World,2007,6.074037829537539
World,2008,6.069316885364931
World,2009,6.11531433726381
World,2010,6.09116142602612
World,2011,6.159704710968349
World,2012,6.1844821989762
World,2013,6.09073568006332
World,2014,6.082806569763381
World,2015,5.92468961308176
World,2016,5.96925062927414
World,2017,5.89624470260388
World,2018,5.65467764756574
World,2019,5.39818276054356
World,2020,5.278280248610811
World,2021,5.467813071002289
World,2022,5.284007750153761
